polaridad,subjetividad,sentimiento,word_count
0.0,0.41904761904761906,neu,15
-0.0772,0.7475757575757576,neu,23
0.8126,0.5,pos,18
-0.4404,0.4,neu,22
-0.6705,0.18392857142857144,neg,11
-0.9325,0.45,neg,29
0.0,0.0,neu,5
0.6705,0.7,pos,12
-0.3818,0.0,neu,15
0.1027,0.375,neu,21
-0.6705,0.7,neg,21
-0.6908,0.44999999999999996,neg,27
-0.4939,0.0,neu,7
0.0,0.6,neu,10
-0.5106,0.125,neg,21
-0.296,0.65,neu,20
-0.0258,0.7,neu,10
-0.8228,0.6666666666666666,neg,19
-0.2023,0.6875,neu,19
0.3412,0.0,neu,4
-0.5574,0.0,neg,23
0.9801,0.62,pos,26
0.7096,0.645,pos,22
-0.4588,0.0,neu,8
-0.6597,0.0,neg,14
-0.9371,0.6,neg,12
-0.5106,0.2,neg,3
-0.4939,0.0,neu,5
-0.296,0.25,neu,17
-0.743,0.3444444444444445,neg,26
0.0,0.0,neu,4
-0.6908,0.13333333333333333,neg,24
-0.6369,0.5833333333333334,neg,23
-0.7964,0.25,neg,17
-0.7096,1.0,neg,7
-0.0258,0.75,neu,7
-0.1027,0.5035714285714287,neu,23
-0.25,0.2722222222222222,neu,8
-0.7506,1.0,neg,11
-0.5106,0.5272727272727272,neg,22
0.4023,0.0,neu,7
-0.4019,0.0,neu,9
-0.9371,0.7333333333333334,neg,22
-0.8779,0.55,neg,23
0.296,0.9,neu,3
0.3182,0.8888888888888888,neu,7
-0.5994,0.39999999999999997,neg,15
0.128,0.35555555555555557,neu,16
-0.0516,0.5,neu,7
-0.2023,0.0,neu,6
0.0,0.7,neu,14
0.5267,0.5,pos,12
-0.4215,0.95,neu,7
-0.8957,0.05,neg,10
-0.5106,0.4,neg,5
-0.9217,0.7,neg,23
0.34,1.0,neu,13
-0.296,0.5333333333333333,neu,16
-0.296,0.0,neu,6
0.8173,0.5888888888888889,pos,15
-0.5106,0.0,neg,12
-0.5859,0.51,neg,14
-0.5106,0.6,neg,27
-0.765,0.0,neg,6
-0.8555,0.25,neg,14
0.7579,0.65,pos,23
0.5267,0.6213333333333333,pos,25
0.1779,0.1,neu,12
-0.6369,0.44523809523809527,neg,30
-0.4767,0.95,neu,5
0.0,0.9,neu,6
-0.2023,0.22727272727272727,neu,11
-0.0772,0.4,neu,21
-0.743,0.0,neg,7
0.0,0.0,neu,2
-0.6369,0.0,neg,2
0.1645,0.7848484848484848,neu,13
-0.6597,0.675,neg,12
-0.5267,0.016666666666666666,neg,24
-0.9081,0.775,neg,9
-0.5106,0.75,neg,4
0.3167,0.6114285714285714,neu,29
-0.572,0.78,neg,17
-0.4939,0.41666666666666663,neu,5
0.4367,0.6339285714285714,neu,21
-0.0516,0.48055555555555557,neu,20
-0.6486,0.65,neg,12
-0.6124,0.8119047619047618,neg,20
-0.7906,1.0,neg,13
-0.5994,0.5208333333333333,neg,20
0.8126,0.33999999999999997,pos,21
-0.7506,0.2,neg,26
-0.0516,0.5,neu,25
-0.128,0.5291666666666667,neu,11
-0.25,0.584375,neu,20
0.5106,0.6166666666666667,pos,10
-0.4404,0.0,neu,4
0.9001,0.7749999999999999,pos,13
0.5719,0.5222222222222223,pos,18
0.0,0.0,neu,8
-0.936,0.725,neg,16
-0.25,0.6166666666666667,neu,27
-0.7579,0.8,neg,4
0.0,0.1,neu,8
-0.4404,0.0,neu,2
0.9041,0.6833333333333333,pos,20
0.4404,0.0,neu,8
-0.8126,0.5444444444444444,neg,25
-0.5106,0.0,neg,8
-0.5423,0.6666666666666666,neg,3
-0.9153,0.5803571428571428,neg,20
0.7184,0.7333333333333333,pos,20
-0.0258,0.26666666666666666,neu,23
0.2732,0.9,neu,6
0.8024,0.4888888888888889,pos,20
-0.1779,0.5,neu,8
0.1027,0.41250000000000003,neu,14
-0.1531,0.0,neu,2
-0.1027,0.5416666666666666,neu,5
-0.9382,0.5722222222222222,neg,22
-0.4939,0.0,neu,2
0.5153,0.38055555555555554,pos,24
-0.836,1.0,neg,21
-0.7003,0.75,neg,16
-0.7096,0.39999999999999997,neg,13
-0.4939,0.0,neu,2
-0.4019,0.0,neu,8
0.0,0.4,neu,9
