polaridad,subjetividad,sentimiento,word_count
0.25,0.5666666666666668,neu,20
-0.8074,0.85,neg,17
-0.8779,0.5138888888888888,neg,16
0.7351,0.24444444444444446,pos,20
-0.5719,0.0,neg,7
0.6705,0.9166666666666667,pos,11
-0.4404,0.2125,neu,29
-0.765,0.4,neg,13
-0.4404,0.0,neu,5
-0.802,0.0,neg,8
-0.7269,0.525,neg,16
-0.5106,0.0,neg,7
-0.5106,1.0,neg,5
-0.891,0.4,neg,22
-0.7387,0.5666666666666668,neg,23
-0.8225,0.0,neg,6
-0.4939,0.45,neu,19
0.2732,0.30000000000000004,neu,8
-0.8652,0.6083333333333334,neg,26
-0.7579,1.0,neg,10
0.6124,0.9,pos,6
-0.5719,0.5416666666666666,neg,6
-0.6249,0.471875,neg,24
-0.5908,0.47500000000000003,neg,19
0.25,0.2,neu,12
0.1531,0.5166666666666666,neu,24
-0.4404,0.0,neu,5
0.2263,0.0,neu,5
0.6249,0.75,pos,5
-0.6597,0.725,neg,15
0.128,0.5,neu,23
-0.4939,0.0,neu,6
-0.8687,0.67,neg,16
0.1531,0.0,neu,8
-0.6597,0.5,neg,8
-0.5106,0.21250000000000002,neg,15
-0.5106,0.0,neg,5
-0.9042,0.35,neg,14
0.0,0.3,neu,9
-0.5106,0.0,neg,4
0.7717,0.3,pos,5
0.1531,0.36666666666666664,neu,10
0.0,0.0,neu,10
-0.5477,0.525,neg,9
-0.5568,0.655952380952381,neg,22
0.0,0.9,neu,10
0.4019,0.45999999999999996,neu,16
0.3612,0.6666666666666667,neu,16
-0.1027,0.5700000000000001,neu,16
0.0,0.5,neu,11
-0.875,0.725,neg,16
-0.5106,0.5,neg,4
-0.7096,0.6242857142857142,neg,22
-0.8271,0.4624338624338624,neg,22
-0.7269,0.1,neg,6
0.5456,0.325,pos,26
-0.5106,0.0,neg,4
-0.2263,0.9,neu,3
-0.4939,0.0,neu,11
-0.6808,0.1,neg,10
-0.0258,0.0,neu,8
-0.5106,0.4772727272727273,neg,9
-0.2819,0.0,neu,19
-0.6246,1.0,neg,9
0.0,0.25,neu,10
0.0,0.9,neu,3
-0.3818,0.5,neu,10
0.3412,0.0,neu,8
0.2732,0.325,neu,15
0.7096,0.5888888888888889,pos,24
-0.8126,0.6666666666666666,neg,9
-0.8555,1.0,neg,7
-0.5423,0.19166666666666665,neg,17
0.8653,0.875,pos,18
-0.5106,0.0,neg,8
-0.5106,0.0,neg,7
-0.4939,0.0,neu,4
0.5994,0.75,pos,13
0.0,0.6000000000000001,neu,6
-0.8519,0.77,neg,11
-0.5106,0.3,neg,6
-0.4404,0.0,neu,4
-0.8555,0.5916666666666667,neg,22
-0.8957,0.7729166666666667,neg,20
-0.3612,0.21428571428571427,neu,13
-0.1027,0.5,neu,10
-0.8316,0.5199999999999999,neg,23
0.0,0.0,neu,1
0.5859,0.50625,pos,26
-0.7269,0.72,neg,11
0.0772,0.3,neu,4
0.0258,0.3839285714285714,neu,22
-0.2023,0.43499999999999994,neu,24
-0.3818,0.7896825396825397,neu,20
-0.4404,0.5357142857142857,neu,6
0.2023,0.43686868686868685,neu,30
-0.7845,0.5833333333333334,neg,18
-0.6597,0.3670634920634921,neg,27
-0.8591,0.5638888888888889,neg,28
0.6896,0.0,pos,22
-0.296,0.7,neu,9
-0.4588,0.55,neu,21
0.0,0.4138888888888888,neu,13
0.5423,1.0,pos,14
0.4404,0.75,neu,14
0.0258,0.0,neu,3
-0.5423,0.1,neg,13
-0.5423,0.0,neg,6
-0.5574,0.67,neg,17
0.0258,0.6000000000000001,neu,10
0.5216,0.0,pos,8
-0.5106,0.2,neg,4
-0.6705,0.2111111111111111,neg,24
-0.34,0.6875,neu,8
-0.0772,0.5,neu,9
0.9368,0.63125,pos,17
0.3384,0.35555555555555557,neu,23
0.25,0.3,neu,4
-0.4215,0.75,neu,6
-0.5423,1.0,neg,7
0.128,0.4000000000000001,neu,15
0.0,0.0,neu,2
-0.7964,0.6,neg,16
0.4574,0.4,neu,11
0.0516,0.2708333333333333,neu,10
-0.5106,0.0,neg,3
0.4404,0.6000000000000001,neu,4
-0.5267,0.7125,neg,18
-0.7717,0.0,neg,9
0.0516,0.6875,neu,9
-0.4588,0.66875,neu,10
-0.6705,0.2111111111111111,neg,24
0.0,0.0,neu,5
-0.5106,0.0,neg,1
-0.1779,0.3,neu,25
-0.5106,0.75,neg,5
-0.4939,0.0,neu,2
-0.6808,0.0,neg,7
0.0258,0.5,neu,18
0.4925,0.43333333333333335,neu,13
-0.2037,0.31666666666666665,neu,9
0.4939,0.55,neu,5
-0.1761,0.375,neu,18
0.6486,0.14444444444444446,pos,24
-0.6705,0.2111111111111111,neg,24
0.4404,0.2,neu,2
0.5423,0.0,pos,24
0.0,0.0,neu,7
-0.4939,0.0,neu,4
0.2023,1.0,neu,4
-0.8126,0.0,neg,19
-0.7506,1.0,neg,4
-0.4404,0.0,neu,9
-0.4939,0.0,neu,5
-0.4404,0.1,neu,13
0.3612,0.3229591836734694,neu,21
-0.7906,0.0,neg,7
-0.765,0.0,neg,10
-0.5106,0.2,neg,6
-0.0018,0.3444444444444445,neu,18
-0.6705,0.2111111111111111,neg,24
0.6908,0.0,pos,15
-0.296,0.6499999999999999,neu,15
-0.7184,1.0,neg,13
0.8126,0.62,pos,27
0.8023,0.6333333333333334,pos,21
-0.8316,0.2,neg,22
-0.847,0.0,neg,25
0.1811,0.75,neu,8
0.0,0.9,neu,10
-0.2023,0.0,neu,7
0.7274,0.5499999999999999,pos,12
-0.2023,0.5666666666666668,neu,13
-0.765,1.0,neg,8
-0.6705,0.2111111111111111,neg,24
-0.4588,1.0,neu,10
-0.4404,0.7,neu,14
0.3612,0.0,neu,8
-0.4404,0.0,neu,3
-0.6573,0.9,neg,7
-0.4404,0.0,neu,3
-0.5106,0.1,neg,6
-0.5106,0.45454545454545453,neg,10
-0.2732,0.0,neu,4
0.7906,0.55,pos,8
0.5719,0.95,pos,4
-0.6705,0.2111111111111111,neg,24
0.3182,0.75,neu,27
-0.6124,0.6833333333333333,neg,6
