timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2021-11-19,"@Artsy_Marxist ""Ladies and gentlemen of the jury, these young men were afraid for their lives! Can you blame them? They were being rushed by a *mob* of communists and anarchists, people who advocate *violence*, people who advocate the *violent overthrow* of our government--at any cost!""",b'CaiStark',[],,2206,0,0
2021-11-19,"“Such as a Decpticon genius like u.., I’m afraid I find it very hard to believe when just swapping sides tbh.” https://t.co/HOCXVqWMOq",b'UltraMagnusTFP_',[],,59,0,0
2021-11-19,He got right shoulder pain from carrying the Nets. Harden better show up https://t.co/bQx9MNeTq0,b'mkenate__',[],"Milwaukee, WI",1530,0,0
2021-11-19,"@TheRealHoarse Sadly, he’s about to become a poster boy for the 2nd amendment rights/NRA gang. (The same gang that won’t “get the jab” because they “won’t live their lives in fear”, but are to afraid to walk around un-armed)🤷🏻‍♂️",b'Ma_X3_kiteFam',[],"Monona, WI",56,0,0
2021-11-19,Every year 20th Nov is being observed as the Childrens Day. On this day let's make an effort to preserve their beautiful childhood by educating them &amp; making sure no child works as a laborer. Every child has the right to live without fear of discrimination. #WorldChildrensDay https://t.co/lkrev3QN6C,b'Arshi_Sayss',['WorldChildrensDay'],"Lahore, Pakistan",13539,0,0
2021-11-19,@politicalwilli It's not the residents you have to worry about. Milwaukee and Chi-Raq are about an hour away.,b'SpicyNoodles2',[],The Ponderosa,2799,0,0
2021-11-19,@SuperSportTV Pain goes straight to the whole Ghana nation🤣,b'AumentoTello',[], 🌍,451,0,0
2021-11-19,@elonmusk I know the pain.,b'cryptoargonaut',[],Sheep stinking island.,30,0,0
2021-11-19,"@Okvagirl @Dreamweasel @JoyAnnReid Well thanks to the now authoritarian party of the GOP we don't have too! As a white liberal in the middle of Trump country, I now fear my neighbors obsession with violence against anyone who doesn't share the same views. We're making tons of progress.",b'rachieLynn27',[],"Minnesota, USA",78,0,0
2021-11-19,btw those who are down on the rittenhouse thing. dont focus on it. it really isnt as important as its been made out to be. there are much more important things to worry about than some 17 year douchbag millitia kid,b'40ATLAS',[],Your dad,659,0,0
2021-11-19,"@beelsmeal Don't worry, I still find his jokes funny until today not only that, the way he act and express himself is just so entertaining to see 🤣😍❤",b'Airiari_LOL16',[],,234,0,0
2021-11-19,"Our fears, whatever they are, should not be considered justification to kill whoever we fear. But then this happens and it's hard to argue to people who say if they have to fear this outcome then they need to be prepared to respond in kind. I just want us to aspire to more.",b'KTS_Stories',[],"San Francisco, CA",142,0,0
2021-11-19,@AryanawayfromIG The 5 whiskey pegs were helping w the pain but now I’ll just kms,b'brainwhacked_',[],Mika Singh’s Argentina,3326,0,0
2021-11-19,The only thing dangerous is the outreach of big govt to try to control everything by way of fear https://t.co/mAl1oemM9v,b'duckky007',[],NZ,280,0,0
2021-11-19,"Don't worry, my little bunny...you are the best! 😅😘",b'mjmt13',[],"Venezuela, mientras tanto...",1240,0,0
2021-11-19,This is water(sometime sweetened) trapped in a circular shape which is a pain to cut https://t.co/It08KDhSKE,b'edserxjj',[],In the depths of misery,446,0,0
2021-11-19,"@luton_paul Yes it would help a lot. I've always thought this is the real contention and fear about ""smart"" motorways and the concern about lack of hard shoulders is just a cover..",b'gazza_d',[],"Tyneside, North East England",4168,0,0
2021-11-19,i am getting so frustrated at my best friend right now and i can’t do any facial expressions but we are in online class and i fear she is going to see me,b'goldeneverytime',[],she / her | 17 | neutral,590,0,0
2021-11-19,@LennyDykstra Are you still actually afraid of commies Lenny or is this just some drug flashback from your roid binge in the 80s,b'Finkclearly',[],Canada,495,0,0
2021-11-19,"@BlackKnight10k Chronic alcoholism? They still have Bob Ueker and the Badgers. Other than that, I got nothing.",b'miffy941',[],"Cambridge, Idaho",479,0,0
2021-11-19,"@nytimes Absolutely the correct result. Despite the attempts by the media, the prosecutors and Joe Biden's to undermine the justice system. There blatant attempts to cause more pain and more suffering. The truth will out!",b'SanctuaryZazas',[],,26,0,0
2021-11-19,@MMidlander @JulieAnn718 @DisnerdTrekkie @seanferrick @exodus803 @jillmw_runner @semperpho @DerekLawrence73 @RecycleGrrl It smarts a bit. I was more pissed about not working out than I was about pain or blood.🤣,b'blakeussery007',[],"Atlanta, GA",1671,0,1
2021-11-19,@BusayoBanjo Thank God 😊 but see how the devil tried to bring in fear with that small scenario. God is good sha and He'll forever be.,b'Tijesunimi20',[],,122,0,0
2021-11-19,"He armed himself, traveled far and killed people because he was afraid. #KyleRittenhouse is only free because he is a white male. https://t.co/3fNB8p06x7",b'SuperSuitShow',['KyleRittenhouse'],"California, USA",5804,0,0
2021-11-19,@marvelexo I’ve read where taking a pain reliever could help with pain! Also take deep breaths and ask the doctor to use the smaller speculum. I do it with my gyno. I also listen to music and tell myself it only takes less than 5 minutes,b'blacktaekaistan',[],Alabama,196,0,0
2021-11-19,@boasupremacyy full drogas sexo alcohol,b'jkvrslug',[],arg,60,0,0
2021-11-19,@tori2castille @BundyCooper @crashlandin_ I always cringe so hard when I see people arguing about this. 😬. Also don't worry they have an agreement with Netflix to go on for 7years so next season is probably it. Unless they want to keep going.,b'vivakello',[],NewYork City,289,0,0
2021-11-19,@oscarwildesstan different kinda pain,b'itskashbye',[],"Islamabad, Pakistan",1807,0,0
2021-11-19,Stay away from drugs kids.,b'AphidBot',[],,4,0,0
2021-11-19,@formulawah if LeclercHive finds out i rep stroll i will have to leave so i cannot i’m afraid,b'Jas_SV5',[],🇬🇧🇦🇫 | he/him | 20,1544,0,0
2021-11-19,@ats_hiro Don't worry https://t.co/5YaybHegoB,b'yossy19640507',[],,425,0,0
2021-11-19,@HolaDera So how often do you worry about your male friends and family going home by themselves at night 😐,b'_Toye_',[], 🇳🇬,471,0,0
2021-11-19,so many hidden uncle toms in this underground artist/producer community. dont worry ima sus yal out and put the fire to ya ass.,b'ogmatteo',[],ａｒｔｉｓｔ/ｅｎｇｉｎｅｅｒ/ｖｉｄｅｏｇｒａｐｈｅｒ,2527,0,0
2021-11-19,Let pain be gracious.,b'mvemilyr',[],,127,0,0
2021-11-19,Heard this morning @93xhams has Pfizer as sponsor of the sports report with Randy Shaver. Makes sense since he and Jungle Jane spread Covid fear mongering thru Skare11 more than anyone else.,b'keysymbol',[],"Minnesota, USA",206,0,0
2021-11-19,till this day my parents are scared that when i leave the house i won’t come back and i fear for my life every time i leave my house. i have to teach my little cousins how to act in front of the police. this is my fucking life. it’s not just a trend.,b'lighttmylove',[],19 || she/her || black || tx,343,0,0
2021-11-19,This pain gonna live on….. https://t.co/0RBVxUcQyR,b'coachrogers100',[],"Seattle, WA",410,0,0
2021-11-19,"girl, I feel your pain 😭 https://t.co/SxZhEiIJM0",b'PaaulaValle',[],,279,0,0
2021-11-19,don’t be afraid 😂🖤 https://t.co/0cvyPN1awX,b'luffysuxx',[],Between A Pretty Chick Legs,1577,0,0
2021-11-19,"@SSR_Bangtan @clown4txtannies @fatimafarha_ Never be ashamed for showing someone trust. The person who takes advantage of that is the one who did wrong. It’s good to be skeptical &amp; think things through, but don’t be afraid to show someone trust &amp; support. 💜",b'Always4Bangtan',[],,213,0,0
2021-11-19,"@CFreiss_boston @RBHayes44060 @JohnDiesattheEn Yeah... Leftists are going to get screwed. Far right instigators shooting people will be treated drastically differently from people on the left defending themselves. Look for fear of ""antifa"" entering judicial precedence.",b'tmoney2007',[],"Houston, TX",5,0,0
2021-11-19,@wojespn Pointless drugs for what he’s doing 😂,b'ChrisBrick29',[],"Pennsylvania, USA",91,0,0
2021-11-19,@ChriisyVee Naaaah she deserved pain for bee!,b'cripcesstcp',[],,636,0,0
2021-11-19,i’m afraid ten ate mark up with these photos GO TEN GO TEN https://t.co/3zkzkXZSNZ,b'MARKCZTEN',[],she/her • 20,142,0,0
2021-11-19,"@CLASH_Chia @JasperLaz @AtariSSB I want this circuit to succeed, but God I am deathly afraid of the consequences for the PM community because of it. It could turn south real fast. I'll be happy if the circuit can thrive while PM does its own thing and also still be acknowledged by the rest of the smash scene.",b'Tealz_BCB',[],"Yorba Linda, CA",802,0,0
2021-11-19,Addressing #Racism. Indigenous-specific racism &amp; discrimination described as command and control in #BC authoritarian systems. Add #colonialism for 3Cs with the fear of losing power #solidarity #INDIGENOUS #LandBack #A2J #advocacy #Gitxsan #wetsuweten #unceded #decolonizetogether https://t.co/PClAyXKasM,b'LuminoIQ',"['Racism', 'BC', 'colonialism', 'solidarity', 'INDIGENOUS', 'LandBack', 'A2J', 'advocacy', 'Gitxsan', 'wetsuweten', 'unceded', 'decolonizetogether']",Pacific Northwest,895,0,0
2021-11-19,@MsMakeItSo Mind your business. Worry about Canada.,b'Challenger6010',[],,72,0,0
2021-11-19,"I led DoH team in 1st Coordination meeting on improving HIV/AIDS, Hepatitis &amp; TB diagnostic &amp; treatment facilities in Central &amp; Malir Prisons KHI on 17th Nov. 2021.UN Office on Drugs &amp; Crime-UNODC, Sindh Prisons Dept &amp; Health Dept participated. @control_disease @UNAIDS_Pakistan https://t.co/gqzpsXAPlW",b'ershadkazmi',[],"Karachi, Sindh, Pakistan",112,0,0
2021-11-19,Hidden truths (lies of omission) become secrets and result in pain and drama.,b'BarnabasIntl',[],"Atlanta, Georgia",187,0,0
